categoryId	categoryName	lPath
225186	정밀,광학기기,시계제조	||서비스,산업||제조업||정밀,광학기기,시계제조
225187	기계,장비제조	||서비스,산업||제조업||기계,장비제조
225188	자동차,운송장비제조	||서비스,산업||제조업||자동차,운송장비제조
225189	생활,가정용품제조	||서비스,산업||제조업||생활,가정용품제조
225190	가구제조	||서비스,산업||제조업||가구제조
225191	귀금속,장신용품제조	||서비스,산업||제조업||귀금속,장신용품제조
225192	악기제조	||서비스,산업||제조업||악기제조
225193	운동,경기용구제조	||서비스,산업||제조업||운동,경기용구제조
225194	장난감,오락용품제조	||서비스,산업||제조업||장난감,오락용품제조
225196	간판,광고물제조	||서비스,산업||제조업||간판,광고물제조
225197	기타용품제조	||서비스,산업||제조업||기타용품제조
225200	가스제조,공급	||서비스,산업||전기,가스,수도사업||가스제조,공급
225215	임대업	||서비스,산업||부동산||임대업
225216	중개업	||서비스,산업||부동산||중개업
225219	감정평가업	||서비스,산업||부동산||감정평가업
225220	관리업	||서비스,산업||부동산||관리업
225290	법무	||서비스,산업||전문,기술서비스||법무
225291	회계,세무	||서비스,산업||전문,기술서비스||회계,세무
225292	광고,마케팅	||서비스,산업||전문,기술서비스||광고,마케팅
225313	여행사	||서비스,산업||지원,대행||여행사
225324	오락,레저용품	||서비스,산업||임대,대여||오락,레저용품
225348	곡물가공,제조	||서비스,산업||제조업||식료품제조||곡물가공,제조
225349	육류가공,제조	||서비스,산업||제조업||식료품제조||육류가공,제조
225350	수산물가공,제조	||서비스,산업||제조업||식료품제조||수산물가공,제조
225351	과실,채소가공,제조	||서비스,산업||제조업||식료품제조||과실,채소가공,제조
225352	유지제조	||서비스,산업||제조업||식료품제조||유지제조
225353	유제품제조	||서비스,산업||제조업||식료품제조||유제품제조
225355	음료제조	||서비스,산업||제조업||식료품제조||음료제조
225356	주류제조	||서비스,산업||제조업||식료품제조||주류제조
225364	조미료,식품첨가물제조	||서비스,산업||제조업||식료품제조||조미료,식품첨가물제조
225394	전자담배	||서비스,산업||제조업||담배제조||전자담배
225396	섬유,원단제조	||서비스,산업||제조업||섬유제품제조||섬유,원단제조
225397	섬유가공	||서비스,산업||제조업||섬유제품제조||섬유가공
225398	장식용제품제조	||서비스,산업||제조업||섬유제품제조||장식용제품제조
225399	직물제품제조	||서비스,산업||제조업||섬유제품제조||직물제품제조
225402	위생용섬유제품제조	||서비스,산업||제조업||섬유제품제조||위생용섬유제품제조
225404	특수사,코드직물제조	||서비스,산업||제조업||섬유제품제조||특수사,코드직물제조
225414	의류액세서리제작	||서비스,산업||제조업||의류제작||의류액세서리제작
225443	나무제품제조	||서비스,산업||제조업||제재,목재가공||나무제품제조
225444	코르크제품제조	||서비스,산업||제조업||제재,목재가공||코르크제품제조
225447	종이,판지제조	||서비스,산업||제조업||펄프,종이제조||종이,판지제조
225448	종이용기제조	||서비스,산업||제조업||펄프,종이제조||종이용기제조
225450	인쇄업	||서비스,산업||제조업||인쇄,기록매체복제||인쇄업
225457	석유정제품제조	||서비스,산업||제조업||코크스,연탄,석유정제품제조||석유정제품제조
225469	세제제조	||서비스,산업||제조업||화학물질,제품제조||세제제조
225509	1차철강제조	||서비스,산업||제조업||1차금속제조||1차철강제조
225510	1차비철금속제조	||서비스,산업||제조업||1차금속제조||1차비철금속제조
225512	비철금속주조	||서비스,산업||제조업||1차금속제조||비철금속주조
225514	금속단조,압형,야금제품제조	||서비스,산업||제조업||금속가공제품제조||금속단조,압형,야금제품제조
225515	금속처리	||서비스,산업||제조업||금속가공제품제조||금속처리
225520	컴퓨터제조	||서비스,산업||제조업||전자,전기||컴퓨터제조
225521	통신,방송장비제조	||서비스,산업||제조업||전자,전기||통신,방송장비제조
225523	전기공급,전기제어장치제조	||서비스,산업||제조업||전자,전기||전기공급,전기제어장치제조
225615	광학기기제조	||서비스,산업||제조업||정밀,광학기기,시계제조||광학기기제조
225619	농업,임업용기계제조	||서비스,산업||제조업||기계,장비제조||농업,임업용기계제조
225620	산업용기계제조	||서비스,산업||제조업||기계,장비제조||산업용기계제조
225621	공작기계제조	||서비스,산업||제조업||기계,장비제조||공작기계제조
225634	일반기계제조	||서비스,산업||제조업||기계,장비제조||일반기계제조
225651	자동차차체,트레일러제조	||서비스,산업||제조업||자동차,운송장비제조||자동차차체,트레일러제조
225653	선박,보트건조	||서비스,산업||제조업||자동차,운송장비제조||선박,보트건조
226188	여객,화물운송	||교통,운수||여객,화물운송
226192	기차,철도	||교통,운수||여객,화물운송||기차,철도
226193	지하철,전철	||교통,운수||여객,화물운송||지하철,전철
226194	버스	||교통,운수||여객,화물운송||버스
226195	택시회사	||교통,운수||여객,화물운송||택시회사
226196	페리,해운	||교통,운수||여객,화물운송||페리,해운
226197	항공	||교통,운수||여객,화물운송||항공
226198	화물운송	||교통,운수||여객,화물운송||화물운송
226199	기타운송	||교통,운수||여객,화물운송||기타운송
226215	수도권	||교통,운수||여객,화물운송||지하철,전철||수도권
226216	부산광역시	||교통,운수||여객,화물운송||지하철,전철||부산광역시
226217	대구광역시	||교통,운수||여객,화물운송||지하철,전철||대구광역시
226222	버스터미널	||교통,운수||여객,화물운송||버스||버스터미널
226224	버스회사	||교통,운수||여객,화물운송||버스||버스회사
226236	페리,해운사	||교통,운수||여객,화물운송||페리,해운||페리,해운사
226248	국제,항공화물	||교통,운수||여객,화물운송||화물운송||국제,항공화물
226250	택배	||교통,운수||여객,화물운송||화물운송||택배
226357	푸드코트	||음식점||푸드코트
226801	장난감대여	||서비스,산업||임대,대여||오락,레저용품||장난감대여
226902	중개,알선	||쇼핑,유통||자동차||중개,알선
229087	전문대학	||교육,학문||학교||전문대학
229093	정보통신대	||교육,학문||학교||정보통신대
229098	종교대학	||교육,학문||학교||종교대학
229239	경륜장	||스포츠,오락||스포츠시설||경륜장
229847	한식뷔페	||음식점||한식||한식뷔페
229856	전동모빌리티	||쇼핑,유통||취미,레저용품||전동모빌리티
230101	방탈출카페	||스포츠,오락||오락시설||방탈출카페
230561	스크린야구장	||스포츠,오락||스포츠시설||스크린야구장
230614	덮밥	||음식점||일식||덮밥
231743	네일아트재료	||쇼핑,유통||미용기기,재료||네일아트재료
232122	본아이에프	||음식점||한식||죽||본아이에프
I1000024	베이글카페	||음식점||카페,디저트||카페||베이글카페
I1000037	엘레강스스포츠	||쇼핑,유통||패션||골프웨어||엘레강스스포츠
I1000204	애플키즈카페	||스포츠,오락||오락시설||키즈카페,실내놀이터||애플키즈카페
I1000239	미스터파파임실치즈피자	||음식점||양식||피자||미스터파파임실치즈피자
I1000244	마리오피자	||음식점||양식||피자||마리오피자
I1000278	김해시락국밥	||음식점||한식||국밥||김해시락국밥
I1000300	선인자동차 포드링컨	||쇼핑,유통||자동차||전시,판매||선인자동차 포드링컨
I1000304	루체테어학원	||교육,학문||학원 등 교습시설||어학교육||영어교육||루체테어학원
I1000316	와인주막차차	||음식점||술집||와인||와인주막차차
I1000348	시골막국수	||음식점||한식||막국수||시골막국수
I1000350	79네수육국밥	||음식점||한식||국밥||79네수육국밥
I1000365	카페꼰띠고	||음식점||카페,디저트||카페||카페꼰띠고
I1000380	신세계출장뷔페	||음식점||뷔페||신세계출장뷔페
I1000393	가얏골감자탕	||음식점||한식||감자탕||가얏골감자탕
I1000396	가제트술집	||음식점||술집||전통,민속주점||가제트술집
I1000429	겐츠베이커리	||음식점||카페,디저트||베이커리||겐츠베이커리
I1000435	경성술집	||음식점||술집||요리주점||경성술집
I1000441	안스베이커리	||음식점||카페,디저트||베이커리||안스베이커리
I1000461	고래감자탕	||음식점||한식||감자탕||고래감자탕
I1000469	고스트피자	||음식점||양식||피자||고스트피자
I1000473	곤지암할매소머리국밥	||음식점||한식||국밥||곤지암할매소머리국밥
I1000489	공릉동원조멸치국수	||음식점||한식||국수||공릉동원조멸치국수
I1000500	에이그레이트카페	||음식점||카페,디저트||카페||에이그레이트카페
I1000509	열혈분식	||음식점||분식||열혈분식
I1000510	국수장이	||음식점||한식||국수||국수장이
I1000511	국제외식출장뷔페	||음식점||뷔페||국제외식출장뷔페
I1000514	굴천지&초계국수	||음식점||한식||해물,생선요리||굴요리||굴천지&초계국수
I1000515	옐로우피자	||음식점||양식||피자||옐로우피자
I1000517	오늘와인한잔	||음식점||술집||와인||오늘와인한잔
I1000520	오드리헵번카페	||음식점||카페,디저트||카페||오드리헵번카페
I1000537	김태호피자	||음식점||양식||피자||김태호피자
I1000554	와플칸	||음식점||카페,디저트||와플||와플칸
I1000557	왕돈까스&왕냉면	||음식점||일식||돈가스||왕돈까스&왕냉면
I1000564	우가양평해장국	||음식점||한식||해장국||우가양평해장국
I1000581	울엄마양평해장국	||음식점||한식||해장국||울엄마양평해장국
I1000586	뉴욕피자	||음식점||양식||피자||뉴욕피자
I1000596	유로코피자	||음식점||양식||피자||유로코피자
I1000602	본죽&비빔밥cafe	||음식점||한식||죽||본아이에프||본죽&비빔밥cafe
I1000603	박군자진주냉면	||음식점||한식||냉면||박군자진주냉면
I1000616	대동국수	||음식점||한식||국수||대동국수
I1000620	이석민피자	||음식점||양식||피자||이석민피자
I1000630	일품양평해장국	||음식점||한식||해장국||일품양평해장국
I1000634	자연임실치즈피자	||음식점||양식||피자||자연임실치즈피자
I1000647	전주콩나루콩나물국밥	||음식점||한식||국밥||전주콩나루콩나물국밥
I1000649	정다함돈가스	||음식점||일식||돈가스||정다함돈가스
I1000664	제주은희네해장국	||음식점||한식||해장국||제주은희네해장국
I1000684	띵똥와플	||음식점||카페,디저트||와플||띵똥와플
I1000686	라오니피자	||음식점||양식||피자||라오니피자
I1000704	류길상피자	||음식점||양식||피자||류길상피자
I1000710	림벅와플	||음식점||카페,디저트||와플||림벅와플
I1000729	착한피자	||음식점||양식||피자||착한피자
I1000741	천안당호두과자	||음식점||카페,디저트||호두과자||천안당호두과자
